id;full_name;age;gender
1;Герасимова Валерия Тимофеевна;28;Ж
2;Филатов Самсон Гавриилович;41;М
3;Давыд Даниилович Воронцов;59;М
4;Иларион Фомич Федотов;53;М
5;Игнатий Аксёнович Моисеев;63;М
6;Зинаида Ефимовна Зимина;30;Ж
7;Исакова Лидия Степановна;27;Ж
8;Елисеева Прасковья Алексеевна;40;Ж
9;Пестова Ирина Мироновна;48;Ж
10;Дорофеев Измаил Венедиктович;28;М
11;г-жа Игнатова Милица Архиповна;35;Ж
12;Марина Рубеновна Калинина;29;Ж
13;Емельянова Людмила Эдуардовна;30;Ж
14;Мельников Мир Глебович;29;М
15;Иннокентий Арсенович Зимин;36;М
16;Назар Теймуразович Князев;30;М
17;Никифорова Мария Феликсовна;55;Ж
18;Александра Ильинична Горбачева;56;Ж
19;Громова Марина Владимировна;57;Ж
20;Валерия Харитоновна Дроздова;53;Ж
21;Алла Романовна Мельникова;31;Ж
22;Лора Станиславовна Вишнякова;52;Ж
23;Романова Лариса Макаровна;25;Ж
24;Аксенова Алевтина Васильевна;28;Ж
25;г-жа Константинова Фаина Ниловна;40;Ж
26;Ефимов Герасим Антонович;33;М
27;Евгения Ивановна Волкова;28;Ж
28;Вера Натановна Третьякова;54;Ж
29;Орлов Аггей Федосеевич;36;М
30;Анжелика Эльдаровна Гаврилова;46;Ж
31;Раиса Евгеньевна Алексеева;44;Ж
32;Казаков Творимир Димитриевич;49;М
33;Зинаида Анатольевна Анисимова;49;Ж
34;Аксенов Лука Филимонович;30;М
35;Максимов Феофан Юлианович;27;М
36;Радим Фёдорович Дементьев;33;М
37;Фомичев Максим Игоревич;39;М
38;Данилова Валентина Рубеновна;32;Ж
39;Шубин Игорь Елисеевич;46;М
40;Тимофеева Майя Юльевна;59;Ж
41;Шилов Боян Филимонович;39;М
42;Доброслав Алексеевич Симонов;37;М
43;Рогова Феврония Феликсовна;50;Ж
44;Олимпиада Романовна Макарова;53;Ж
45;Тит Тарасович Горшков;39;М
46;Панова Евгения Захаровна;38;Ж
47;Михей Витальевич Козлов;39;М
48;Карпова Агата Геннадьевна;29;Ж
49;Фадеев Юлий Елизарович;56;М
50;Василий Гордеевич Тихонов;62;М
51;Спиридон Гавриилович Лихачев;43;М
52;Тамара Феликсовна Боброва;58;Ж
53;Жанна Руслановна Ефремова;46;Ж
54;Лапин Аполлинарий Бориславович;25;М
55;Лаврентьев Август Валерианович;58;М
56;Лукия Кирилловна Селезнева;27;Ж
57;Белова Анжелика Аркадьевна;56;Ж
58;Романова Марина Богдановна;55;Ж
59;Мясникова Лидия Владимировна;25;Ж
60;Анжела Станиславовна Фомичева;38;Ж
61;Андрон Устинович Устинов;35;М
62;Мариан Ааронович Трофимов;46;М
63;Игнатова Елена Григорьевна;35;Ж
64;Бирюкова Нина Руслановна;26;Ж
65;Савина Любовь Юльевна;42;Ж
66;Трофимова Регина Аркадьевна;41;Ж
67;Назарова Жанна Анатольевна;46;Ж
68;Митофан Вячеславович Кононов;34;М
69;Сорокин Афиноген Геннадиевич;62;М
70;Евгения Альбертовна Савина;29;Ж
71;Леонтий Устинович Филиппов;37;М
72;Орехова Ксения Дмитриевна;39;Ж
73;Соболева Алевтина Геннадьевна;58;Ж
74;Поляков Силантий Филатович;44;М
75;Александра Захаровна Блохина;49;Ж
76;Гаврилова Октябрина Тимофеевна;64;Ж
77;Никитина Оксана Степановна;37;Ж
78;Твердислав Тимурович Голубев;59;М
79;Мишина Эмилия Захаровна;55;Ж
80;Колобова Анна Феликсовна;46;Ж
81;Октябрина Семеновна Сергеева;53;Ж
82;Алла Егоровна Русакова;33;Ж
83;Владимиров Эммануил Давидович;62;М
84;Бобров Герман Васильевич;52;М
85;Феврония Рудольфовна Филатова;52;Ж
86;Мишин Радован Демидович;55;М
87;Доронин Рубен Устинович;53;М
88;Кондрат Иларионович Некрасов;63;М
89;Фокин Аникита Валерьянович;61;М
90;Мария Эльдаровна Дмитриева;41;Ж
91;Гостомысл Гаврилович Власов;46;М
92;Исай Харлампьевич Якушев;38;М
93;Корнил Ермолаевич Кулаков;64;М
94;Эрнест Феофанович Ефимов;58;М
95;Евдокия Ивановна Колобова;55;Ж
96;Дмитриев Аполлон Иосифович;50;М
97;Белозеров Архип Харлампович;53;М
98;Варвара Геннадиевна Мишина;54;Ж
99;г-н Марков Ипатий Валерианович;32;М
100;Спартак Георгиевич Гущин;43;М
101;Жанна Васильевна Данилова;32;Ж
102;Кузьмин Денис Алексеевич;51;М
103;Филарет Филиппович Тарасов;34;М
104;Модест Ерофеевич Авдеев;34;М
105;Нина Робертовна Якушева;50;Ж
106;Марина Николаевна Горбунова;37;Ж
107;Евсеева Наталья Даниловна;38;Ж
108;Агата Максимовна Полякова;31;Ж
109;Анастасия Степановна Корнилова;33;Ж
110;Нестерова Виктория Тарасовна;29;Ж
111;Эмилия Семеновна Емельянова;39;Ж
112;Бирюков Каллистрат Анисимович;34;М
113;г-н Титов Аверкий Анатольевич;60;М
114;Евгения Павловна Назарова;60;Ж
115;Авдеев Федор Тарасович;44;М
116;Молчанова Кира Артемовна;49;Ж
117;Соловьев Савватий Владиславович;29;М
118;Раиса Андреевна Дорофеева;52;Ж
119;Лора Алексеевна Русакова;60;Ж
120;Роман Евстигнеевич Логинов;57;М
121;Ирина Андреевна Рогова;50;Ж
122;Мария Ивановна Медведева;65;Ж
123;Савельев Любосмысл Жанович;57;М
124;Регина Ивановна Молчанова;30;Ж
125;Корнилова Галина Робертовна;49;Ж
126;Суворов Каллистрат Устинович;30;М
127;Алина Альбертовна Овчинникова;29;Ж
128;Наталья Святославовна Соболева;44;Ж
129;Велимир Иосифович Носков;28;М
130;Кошелев Нестор Гаврилович;36;М
131;Орлова Нинель Тарасовна;42;Ж
132;Кудряшов Август Филимонович;36;М
133;Алевтина Александровна Рыбакова;53;Ж
134;Александрова Полина Сергеевна;39;Ж
135;г-жа Данилова Анастасия Львовна;33;Ж
136;Касьян Еремеевич Мясников;37;М
137;Данилов Измаил Даниилович;30;М
138;Таисия Игоревна Горбачева;25;Ж
139;Руслан Архипович Белозеров;25;М
140;Зимина Ольга Константиновна;61;Ж
141;Назар Германович Федосеев;40;М
142;Терентьев Мартьян Жоресович;51;М
143;Фадеева Полина Артемовна;49;Ж
144;Октябрина Евгеньевна Никифорова;35;Ж
145;Прохоров Аполлон Демидович;50;М
146;Лапина Варвара Святославовна;58;Ж
147;Кириллов Панфил Жанович;50;М
148;Александров Рубен Данилович;65;М
149;Евдоким Ануфриевич Наумов;61;М
150;Мясникова Октябрина Богдановна;43;Ж
151;Михеев Петр Архипович;52;М
152;Нифонт Гордеевич Кириллов;40;М
153;Валентина Олеговна Кудрявцева;36;Ж
154;Алина Даниловна Королева;64;Ж
155;Меркушева Синклитикия Семеновна;42;Ж
156;Никифор Филимонович Горбачев;38;М
157;Кондратьев Модест Тихонович;33;М
158;Яковлева Лукия Константиновна;61;Ж
159;Мокей Ермилович Васильев;45;М
160;Нестор Елисеевич Дементьев;60;М
161;Журавлева Марфа Наумовна;27;Ж
162;Иван Гурьевич Рожков;28;М
163;Мстислав Эдуардович Баранов;27;М
164;Рюрик Гаврилович Александров;34;М
165;тов. Антонова Фаина Павловна;60;Ж
166;Архипов Григорий Устинович;62;М
167;Алевтина Аскольдовна Рожкова;54;Ж
168;Родионов Иннокентий Артемьевич;31;М
169;Сафонова Вера Викторовна;63;Ж
170;тов. Терентьев Аверкий Харлампович;46;М
171;Иванна Наумовна Колесникова;36;Ж
172;Анжелика Максимовна Боброва;36;Ж
173;Лазарева Полина Петровна;60;Ж
174;Пелагея Ивановна Третьякова;40;Ж
175;Красильников Петр Ааронович;28;М
176;Анжела Архиповна Афанасьева;29;Ж
177;Рябов Христофор Архипович;38;М
178;тов. Александров Куприян Бориславович;55;М
179;г-н Блинов Осип Жоресович;50;М
180;Андреева Надежда Семеновна;59;Ж
181;Никанор Елизарович Гущин;43;М
182;Князев Ипполит Зиновьевич;52;М
183;Юлиан Эдуардович Поляков;63;М
184;Петухова Вероника Михайловна;25;Ж
185;Лаврентьева Элеонора Афанасьевна;64;Ж
186;Полина Михайловна Мишина;54;Ж
187;Тимофеева Анжелика Олеговна;29;Ж
188;Капустина Евфросиния Сергеевна;37;Ж
189;Ираида Петровна Хохлова;29;Ж
190;Назаров Назар Виленович;62;М
191;Мамонтова Наина Болеславовна;60;Ж
192;Котов Лев Ефимьевич;36;М
193;Кудряшов Варлаам Афанасьевич;46;М
194;Варвара Болеславовна Исакова;46;Ж
195;Зайцева Агата Егоровна;58;Ж
196;Сафонов Денис Гавриилович;62;М
197;Филатова Олимпиада Архиповна;28;Ж
198;Вениамин Анатольевич Быков;40;М
199;Веселова Варвара Архиповна;36;Ж
200;Артем Ефстафьевич Карпов;62;М
201;Лукия Эльдаровна Зуева;51;Ж
202;Оксана Тимуровна Афанасьева;40;Ж
203;Карпова Марфа Федоровна;62;Ж
204;Дементьев Гремислав Егорович;28;М
205;Фадеева Елизавета Константиновна;36;Ж
206;Дьячков Аверкий Тарасович;27;М
207;Нинель Павловна Максимова;34;Ж
208;Брагин Евдоким Елисеевич;51;М
209;Евстафий Давыдович Тетерин;37;М
210;Ираида Аскольдовна Романова;62;Ж
211;Евгений Викентьевич Емельянов;28;М
212;Софрон Германович Семенов;44;М
213;Медведева Татьяна Натановна;51;Ж
214;Горшков Спартак Давыдович;61;М
215;Лука Ефимович Блинов;49;М
216;Галкин Милий Ерофеевич;59;М
217;Крюков Радим Харлампович;47;М
218;Маслова Зинаида Михайловна;26;Ж
219;Волкова Таисия Артемовна;31;Ж
220;Януарий Ермилович Некрасов;29;М
221;Шарапов Аким Валерьянович;58;М
222;г-н Соловьев Лазарь Алексеевич;59;М
223;Наталья Егоровна Киселева;38;Ж
224;Прокл Устинович Новиков;37;М
225;Николаев Федор Артёмович;38;М
226;Виктория Кузьминична Комарова;39;Ж
227;Исидор Трифонович Цветков;28;М
228;Шашкова Вера Дмитриевна;45;Ж
229;Дроздов Силантий Гаврилович;65;М
230;Назарова Акулина Федоровна;60;Ж
231;Татьяна Владимировна Кулагина;39;Ж
232;Федосий Демьянович Зуев;47;М
233;Акулина Наумовна Назарова;40;Ж
234;Петр Федосьевич Шилов;49;М
235;Юлия Григорьевна Федорова;55;Ж
236;Юлия Мироновна Некрасова;41;Ж
237;Наркис Тарасович Гущин;51;М
238;Прокофий Юлианович Шаров;29;М
239;Юлий Артемьевич Суханов;43;М
240;Константинов Потап Филатович;56;М
241;Никитина Валентина Антоновна;59;Ж
242;Устинов Константин Измаилович;46;М
243;Маргарита Яковлевна Яковлева;49;Ж
244;Валерия Робертовна Никифорова;49;Ж
245;Морозов Сигизмунд Ерофеевич;27;М
246;Королева Светлана Максимовна;48;Ж
247;Трофимова Лукия Натановна;40;Ж
248;Евпраксия Владиславовна Баранова;37;Ж
249;Дементьев Севастьян Антонович;42;М
250;Стрелкова Виктория Григорьевна;25;Ж
251;Афанасьева Пелагея Николаевна;49;Ж
252;Горбачева Антонина Кирилловна;55;Ж
253;Веселова Людмила Рудольфовна;62;Ж
254;Громова Иванна Эдуардовна;29;Ж
255;Прохорова Светлана Никифоровна;59;Ж
256;Александра Руслановна Сорокина;26;Ж
257;Галина Николаевна Сорокина;32;Ж
258;Журавлева Евфросиния Кузьминична;29;Ж
259;Евлампий Германович Воробьев;37;М
260;Давыдов Лука Бенедиктович;48;М
261;Большаков Фока Харлампович;31;М
262;Анжела Эльдаровна Гущина;59;Ж
263;Максимов Борислав Гавриилович;46;М
264;Терентьев Ян Филатович;50;М
265;Сергеев Порфирий Филатович;51;М
266;Лидия Мироновна Агафонова;30;Ж
267;Белозеров Евграф Валерианович;25;М
268;Беляков Никифор Давыдович;28;М
269;Агафон Дорофеевич Миронов;58;М
270;Андрей Юльевич Афанасьев;46;М
271;Горбунова Зоя Вениаминовна;60;Ж
272;Надежда Ниловна Фомичева;26;Ж
273;Регина Николаевна Селиверстова;42;Ж
274;Анисимов Сила Адрианович;52;М
275;Никифорова Оксана Валентиновна;53;Ж
276;тов. Константинов Каллистрат Филиппович;42;М
277;Осипов Эдуард Тихонович;56;М
278;Борис Федосеевич Федосеев;61;М
279;Вера Леонидовна Антонова;29;Ж
280;Ульян Егорович Кулагин;42;М
281;Сысоева Светлана Ждановна;45;Ж
282;Агата Юльевна Суханова;32;Ж
283;Федотов Евлампий Зиновьевич;44;М
284;Калашников Артемий Эдуардович;52;М
285;Пахомова Нонна Захаровна;59;Ж
286;Анна Анатольевна Воронцова;44;Ж
287;Карл Венедиктович Сергеев;30;М
288;Эраст Зиновьевич Куликов;49;М
289;Галкин Ростислав Иосипович;44;М
290;Ольга Максимовна Давыдова;40;Ж
291;Соколов Севастьян Витальевич;31;М
292;Копылова Лидия Вениаминовна;40;Ж
293;Анна Кузьминична Рябова;36;Ж
294;Белякова Агафья Петровна;31;Ж
295;Дементьев Изяслав Фокич;39;М
296;Самойлов Лукьян Гордеевич;60;М
297;Молчанов Куприян Артёмович;59;М
298;Лебедева Елизавета Кирилловна;35;Ж
299;Евдоким Иосипович Макаров;54;М
300;Дарья Федоровна Капустина;38;Ж
301;Ираида Вадимовна Симонова;49;Ж
302;Никифор Юльевич Волков;64;М
303;Анна Дмитриевна Нестерова;43;Ж
304;Наум Игнатович Русаков;25;М
305;Дементьев Иннокентий Давыдович;39;М
306;Лидия Игоревна Чернова;54;Ж
307;Мечислав Глебович Петров;41;М
308;Онуфрий Яковлевич Родионов;37;М
309;Кирилл Евстигнеевич Афанасьев;34;М
310;Карпов Дементий Власович;51;М
311;Иванов Вышеслав Георгиевич;40;М
312;Гусев Авдей Иларионович;38;М
313;Зинаида Никифоровна Кудряшова;33;Ж
314;Ершов Боян Ефимович;42;М
315;Горбунова Надежда Аскольдовна;61;Ж
316;Кузнецов Павел Изотович;55;М
317;Мамонтов Станимир Борисович;31;М
318;Кудряшов Кир Ильясович;37;М
319;Котов Потап Эдгардович;50;М
320;Кудряшова Антонина Львовна;54;Ж
321;Аполлон Ермилович Беспалов;41;М
322;Прасковья Константиновна Трофимова;57;Ж
323;Крюкова Александра Павловна;55;Ж
324;Клавдия Алексеевна Лобанова;52;Ж
325;Евдокимов Порфирий Алексеевич;37;М
326;Савельева Синклитикия Станиславовна;46;Ж
327;Лукия Яковлевна Шубина;58;Ж
328;Анисимова Лора Максимовна;36;Ж
329;Татьяна Афанасьевна Корнилова;36;Ж
330;Мефодий Трифонович Гущин;62;М
331;тов. Крюкова Антонина Эльдаровна;51;Ж
